resource_state,name,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,workout_type,device_name,athlete_id,has_route,start_lat,start_lng,end_lat,end_lng,distance_km,moving_time_min,elapsed_time_min,average_speed_kmh,max_speed_kmh,date,year,month,month_name,day_of_week,day_name,hour_of_day,week_of_year,is_weekend,time_of_day,pace_min_per_km,is_outdoor,distance_bucket,hr_zone
2,Outdoor walk,79.6,Walk,Walk,18750878456,2026-06-02 03:07:48+00:00,2026-06-02 06:07:48+00:00,(GMT+02:00) Africa/Cairo,3,,,,0,0,0,1,0,False,False,False,False,everyone,False,,57.5,True,122.2,143.0,False,True,40.0,23.1,19860482229,19860482229,1780376196575.fit,False,0,0,False,23.0,,,843017438,True,30.374759,30.508728,30.374811,30.508761,10.277,101.45,106.58,6.077,8.456,2026-06-02,2026,6,June,3,Tuesday,6,23,False,Morning,9.87,True,Medium,Zone 2
2,HIIT,0.0,Workout,HighIntensityIntervalTraining,18629572376,2026-05-24 05:15:45+00:00,2026-05-24 08:15:45+00:00,(GMT+03:00) Africa/Addis_Ababa,3,,,,0,0,0,1,0,True,False,False,False,everyone,False,,,True,143.1,159.0,False,True,0.0,0.0,19736833077,19736833077,1779601140871.fit,False,0,0,False,15.0,,,843017438,False,,,,,0.0,16.75,16.75,0.0,0.0,2026-05-24,2026,5,May,1,Sunday,8,21,True,Morning,,False,Indoor,Zone 3
2,Outdoor walk,104.0,Walk,Walk,18629572464,2026-05-24 02:58:56+00:00,2026-05-24 05:58:56+00:00,(GMT+02:00) Africa/Cairo,3,,,,0,0,0,1,0,False,False,False,False,everyone,False,,58.7,True,119.0,138.0,False,True,40.0,23.1,19736833135,19736833135,1779601141612.fit,False,0,0,False,25.0,,,843017438,True,30.374774,30.508734,30.374898,30.508772,12.096,117.47,120.0,6.178,8.957,2026-05-24,2026,5,May,1,Sunday,5,21,True,Morning,9.71,True,Medium,Zone 2
2,HIIT,0.0,Workout,HighIntensityIntervalTraining,18616181767,2026-05-23 05:23:08+00:00,2026-05-23 08:23:08+00:00,(GMT+03:00) Africa/Addis_Ababa,3,,,,0,0,0,1,0,True,False,False,False,everyone,False,,,True,129.4,144.0,False,True,0.0,0.0,19723147664,19723147664,1779514406022.fit,False,0,0,False,1.0,,,843017438,False,,,,,0.0,1.67,1.67,0.0,0.0,2026-05-23,2026,5,May,0,Saturday,8,21,True,Morning,,False,Indoor,Zone 3
2,Outdoor walk,80.1,Walk,Walk,18616181895,2026-05-23 03:14:14+00:00,2026-05-23 06:14:14+00:00,(GMT+02:00) Africa/Cairo,3,,,,0,0,0,1,0,False,False,False,False,everyone,False,,57.2,True,112.2,133.0,False,True,40.0,23.1,19723147746,19723147746,1779514406728.fit,False,0,0,False,22.0,,,843017438,True,30.374766,30.50872,30.374827,30.508902,10.405,107.12,108.0,5.828,9.378,2026-05-23,2026,5,May,0,Saturday,6,21,True,Morning,10.3,True,Medium,Zone 2
2,HIIT,0.0,Workout,HighIntensityIntervalTraining,18604854789,2026-05-22 06:58:16+00:00,2026-05-22 09:58:16+00:00,(GMT+03:00) Africa/Addis_Ababa,3,,,,0,0,0,1,0,True,False,False,False,everyone,False,,,True,129.3,163.0,False,True,0.0,0.0,19711585628,19711585628,1779434595877.fit,False,0,0,False,12.0,,,843017438,False,,,,,0.0,20.92,20.92,0.0,0.0,2026-05-22,2026,5,May,6,Friday,9,21,False,Morning,,False,Indoor,Zone 3
2,Outdoor walk,51.7,Walk,Walk,18597799203,2026-05-21 15:38:39+00:00,2026-05-21 18:38:39+00:00,(GMT+02:00) Africa/Cairo,3,,,,0,0,0,1,0,False,False,False,False,everyone,False,,58.1,True,125.8,145.0,False,True,40.0,27.1,19704399902,19704399902,1779383078573.fit,False,0,0,False,26.0,,,843017438,True,30.376191,30.508426,30.376495,30.507416,8.556,83.82,83.82,6.124,8.698,2026-05-21,2026,5,May,5,Thursday,18,21,False,Evening,9.8,True,Medium,Zone 2
2,HIIT,0.0,Workout,HighIntensityIntervalTraining,18596369476,2026-05-19 04:29:35+00:00,2026-05-19 07:29:35+00:00,(GMT+03:00) Africa/Addis_Ababa,3,,,,0,0,0,1,0,True,False,False,False,everyone,False,,,True,132.9,151.0,False,True,0.0,0.0,19702940792,19702940792,1779376437995.fit,False,0,0,False,10.0,,,843017438,False,,,,,0.0,15.25,15.25,0.0,0.0,2026-05-19,2026,5,May,3,Tuesday,7,21,False,Morning,,False,Indoor,Zone 3
2,Outdoor walk,57.5,Walk,Walk,18596369726,2026-05-19 03:04:58+00:00,2026-05-19 06:04:58+00:00,(GMT+02:00) Africa/Cairo,3,,,,0,0,0,1,0,False,False,False,False,everyone,False,,56.7,True,111.9,135.0,False,True,40.0,23.1,19702940940,19702940940,1779376438575.fit,False,0,0,False,13.0,,,843017438,True,30.374928,30.508395,30.374849,30.508828,6.219,63.83,65.97,5.846,8.464,2026-05-19,2026,5,May,3,Tuesday,6,21,False,Morning,10.26,True,Medium,Zone 2
2,HIIT,0.0,Workout,HighIntensityIntervalTraining,18550690189,2026-05-18 05:03:44+00:00,2026-05-18 08:03:44+00:00,(GMT+03:00) Africa/Addis_Ababa,3,,,,0,0,0,1,0,True,False,False,False,everyone,False,,,True,132.7,151.0,False,True,0.0,0.0,19656749417,19656749417,1779081437375.fit,False,0,0,False,8.0,,,843017438,False,,,,,0.0,11.5,11.5,0.0,0.0,2026-05-18,2026,5,May,2,Monday,8,21,False,Morning,,False,Indoor,Zone 3
